6001 C	[0.861545,-0.003834,0.100385]
6002 C	[0.844291,0.003481,0.112607]
6003 C	[0.799977,0.008256,0.132412]
6004 C	[0.774981,0.012263,0.142538]
6005 C	[0.752869,0.01641,0.14803]
6006 C	[0.712879,0.025408,0.140965]
6007 C	[0.640461,0.049342,0.115736]
6008 C	[0.717977,0.021224,0.058414]
6009 C	[0.664707,0.024899,0.067825]
6010 C	[0.623504,0.027179,0.0707]
6011 C	[0.598027,0.028539,0.075842]
6012 C	[0.519445,0.032657,0.074565]
6013 C	[0.47615,0.037629,0.072654]
6014 C	[0.44838,0.015876,0.058329]
6015 C	[0.813634,0.053106,0.079859]
6016 C	[0.776676,0.078428,0.106275]
6017 C	[0.763326,0.096687,0.123267]
6018 C	[0.728802,0.108762,0.131182]
6019 C	[0.687666,0.127435,0.137171]
6020 C	[0.640803,0.139435,0.130666]
6021 C	[0.627705,0.129072,0.119406]
6022 C	[0.854201,0.056078,0.03393]
6023 C	[0.811962,0.06116,0.046062]
6024 C	[0.75345,0.085307,0.057134]
6025 C	[0.702783,0.096295,0.069736]
6026 C	[0.669913,0.101768,0.079237]
6027 C	[0.610349,0.103868,0.0885]
6028 C	[0.587124,0.103274,0.081603]
6029 C	[0.785374,0.037438,0.01548]
6030 C	[0.738132,0.044251,0.023643]
6031 C	[0.690015,0.04741,0.031759]
6032 C	[0.652557,0.052399,0.034267]
6033 C	[0.616646,0.057237,0.039692]
6034 C	[0.581022,0.059325,0.047028]
6035 C	[0.540507,0.059809,0.051344]
6036 C	[0.698385,0.06392,0.005957]
6037 C	[0.62712,0.071431,0.012466]
6038 C	[0.580515,0.081153,0.016674]
6039 C	[0.528821,0.084924,0.020206]
6040 C	[0.476158,0.090325,0.027969]
6041 C	[0.437409,0.09143,0.031585]
6042 C	[0.373376,0.074422,0.027966]
6043 C	[0.767295,0.118314,0.027894]
6044 C	[0.741623,0.128105,0.033415]
6045 C	[0.720361,0.135853,0.04017]
6046 C	[0.685102,0.143391,0.051916]
6047 C	[0.603698,0.149586,0.077959]
6048 C	[0.610035,0.151796,0.07185]
6049 C	[0.55675,0.133584,0.088553]
6050 C	[0.828089,0.108296,-0.016948]
6051 C	[0.762293,0.152337,0.002002]
6052 C	[0.698603,0.153829,0.011347]
6053 C	[0.695634,0.189095,0.02686]
6054 C	[0.648216,0.172619,0.016106]
6055 C	[0.605122,0.178235,0.033775]
6056 C	[0.57782,0.175931,0.046671]
6057 C	[0.652028,0.160214,-0.031716]
6058 C	[0.61072,0.171699,-0.027634]
6059 C	[0.592936,0.175236,-0.023534]
6060 C	[0.571105,0.176437,-0.019329]
6061 C	[0.539688,0.175743,-0.013696]
6062 C	[0.531505,0.176132,-0.006441]
6063 C	[0.500156,0.163143,0.00312]
6064 C	[0.78987,0.046123,-0.018441]
6065 C	[0.740662,0.060069,-0.012788]
6066 C	[0.705347,0.066138,-0.012234]
6067 C	[0.661014,0.070548,-0.01082]
6068 C	[0.628456,0.074273,-0.011836]
6069 C	[0.573046,0.079615,-0.009276]
6070 C	[0.564863,0.075492,-0.008022]
6071 C	[0.60988,0.047538,-0.035912]
6072 C	[0.491032,0.059867,-0.039336]
6073 C	[0.444075,0.060534,-0.037922]
6074 C	[0.419461,0.06093,-0.035119]
6075 C	[0.390472,0.059079,-0.032339]
6076 C	[0.330338,0.05141,-0.025547]
6077 C	[0.300849,0.03225,-0.013545]
6078 C	[0.729732,0.072889,-0.062819]
6079 C	[0.672009,0.086675,-0.07059]
6080 C	[0.612185,0.096321,-0.076916]
6081 C	[0.589913,0.102391,-0.080858]
